uid,observed_on,place_guess,description,tags,timestamp,lat,lon,photo_url,name,image_path
198253911,2024/02/01 8:33 AM,"Granite Falls, United States",perros ferales ,,2024-02-01,48.07805193545134,-121.98813557213785,https://inaturalist-open-data.s3.amazonaws.com/photos/349383630/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198253911-2024-02-01.jpg
198249213,2024/01/31 13:25,"Anacortes, United States",,,2024-01-31,48.57172970165194,-122.65625617460884,https://inaturalist-open-data.s3.amazonaws.com/photos/349372233/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198249213-2024-01-31.jpg
198243330,2023-08-28 10:34:36-04:00,"Lofall, United States",,,2023-08-28,47.862001870570644,-122.6915310700722,https://static.inaturalist.org/photos/349364107/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198243330-2023-08-28.jpg
198243276,2024-02-02 12:39:42-05:00,"Seabeck, United States",,,2024-02-02,47.675261782299806,-122.86755803413082,https://inaturalist-open-data.s3.amazonaws.com/photos/349363970/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198243276-2024-02-02.jpg
198237527,2024/02/02 13:34,"Cle Elum, United States",,,2024-02-02,47.04680698268831,-121.18288105495469,https://inaturalist-open-data.s3.amazonaws.com/photos/349352296/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198237527-2024-02-02.jpg
198209619,2024-01-26 18:02:55,"Port Ludlow, United States",,,2024-01-26,47.86073881148347,-122.71295405169512,https://inaturalist-open-data.s3.amazonaws.com/photos/349298672/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198209619-2024-01-26.jpg
198206824,2024/02/01 17:43,"Coupeville, United States",,,2024-02-01,48.21809850473204,-122.76634816784606,https://inaturalist-open-data.s3.amazonaws.com/photos/349288666/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198206824-2024-02-01.jpg
198206634,2024/01/30 12:35 PM,"Stanwood, United States",,,2024-01-30,48.234695129808145,-122.36847238224529,https://inaturalist-open-data.s3.amazonaws.com/photos/349290354/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198206634-2024-01-30.jpg
198206624,2024/01/29 8:34 AM,"Olympia, United States",,,2024-01-29,47.154386833738826,-122.91065086985293,https://inaturalist-open-data.s3.amazonaws.com/photos/349290297/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198206624-2024-01-29.jpg
198203181,2024/01/29 8:52 AM,"Friday Harbor, United States",perro feral ,,2024-01-29,48.68621681086459,-123.01556018095555,https://inaturalist-open-data.s3.amazonaws.com/photos/349284684/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/198203181-2024-01-29.jpg
